
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604481556.6482  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604481571.656  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576696.8158  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576712.2294  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576727.1254  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576742.1674  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576757.2115  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576771.5627  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576786.5278  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576801.5572  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576816.55  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576831.9294  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576847.037  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576861.9251  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576877.0758  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576891.5309  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576906.4554  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576921.4387  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576936.424  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576951.825  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576966.8787  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576981.7773  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604576996.825  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577012.2896  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577027.1964  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577042.1639  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577057.2527  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577071.6736  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577086.6004  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577101.6002  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577116.6073  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577132.0184  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577146.9863  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577162.0863  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577176.9445  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577192.3374  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577207.2734  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577222.2887  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577237.2624  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577251.7045  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577266.6577  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577281.6115  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577296.6699  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577312.0637  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577327.0019  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577342.0144  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577357.0005  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
 /home/ijn/apps/letme/protected/helpers/cron_confirmationSender.php  |  sendAllUnsent  |  1604577371.4374  |  SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
